"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_001MA","S1602_C01_001EA","S1602_C01_002E","S1602_C01_002EA","S1602_C01_002M","S1602_C01_002MA","S1602_C01_003E","S1602_C01_003EA","S1602_C01_003M","S1602_C01_003MA","S1602_C01_004E","S1602_C01_004EA","S1602_C01_004M","S1602_C01_004MA","S1602_C01_005E","S1602_C01_005EA","S1602_C01_005M","S1602_C01_005MA","S1602_C02_001E","S1602_C02_001M","S1602_C02_001MA","S1602_C02_001EA","S1602_C02_002E","S1602_C02_002EA","S1602_C02_002M","S1602_C02_002MA","S1602_C02_003E","S1602_C02_003EA","S1602_C02_003M","S1602_C02_003MA","S1602_C02_004E","S1602_C02_004EA","S1602_C02_004M","S1602_C02_004MA","S1602_C02_005E","S1602_C02_005EA","S1602_C02_005M","S1602_C02_005MA","S1602_C03_001E","S1602_C03_001EA","S1602_C03_001M","S1602_C03_001MA","S1602_C03_002E","S1602_C03_002EA","S1602_C03_002M","S1602_C03_002MA","S1602_C03_003E","S1602_C03_003EA","S1602_C03_003M","S1602_C03_003MA","S1602_C03_004E","S1602_C03_004EA","S1602_C03_004M","S1602_C03_004MA","S1602_C03_005E","S1602_C03_005M","S1602_C03_005MA","S1602_C03_005EA","S1602_C04_001E","S1602_C04_001M","S1602_C04_001MA","S1602_C04_001EA","S1602_C04_002E","S1602_C04_002EA","S1602_C04_002M","S1602_C04_002MA","S1602_C04_003E","S1602_C04_003M","S1602_C04_003MA","S1602_C04_003EA","S1602_C04_004E","S1602_C04_004M","S1602_C04_004MA","S1602_C04_004EA","S1602_C04_005E","S1602_C04_005M","S1602_C04_005MA","S1602_C04_005EA",
"1400000US06001401000","Census Tract 4010, Alameda County, California","2286","239","null","null","440","null","122","null","235","null","150","null","132","null","93","null","69","null","68","null","(X)","(X)","(X)","(X)","19.2","null","5.6","null","10.3","null","6.1","null","5.8","null","4.1","null","3.0","null","2.9","null","117","null","82","null","27","null","29","null","0","null","19","null","34","null","50","null","56","66","null","null","5.1","3.5","null","null","6.1","null","6.8","null","0.0","15.6","null","null","25.8","33.7","null","null","81.2","36.9","null","null",
"1400000US06001401100","Census Tract 4011, Alameda County, California","2428","300","null","null","196","null","103","null","292","null","152","null","267","null","136","null","108","null","85","null","(X)","(X)","(X)","(X)","8.1","null","4.4","null","12.0","null","6.0","null","11.0","null","5.8","null","4.4","null","3.5","null","105","null","76","null","39","null","46","null","0","null","19","null","33","null","39","null","33","42","null","null","4.3","3.2","null","null","19.9","null","22.1","null","0.0","12.8","null","null","12.4","14.8","null","null","30.6","31.4","null","null",
"1400000US06001401200","Census Tract 4012, Alameda County, California","1360","117","null","null","152","null","70","null","129","null","80","null","99","null","52","null","0","null","13","null","(X)","(X)","(X)","(X)","11.2","null","5.3","null","9.5","null","5.7","null","7.3","null","3.8","null","0.0","null","2.9","null","10","null","15","null","0","null","13","null","0","null","13","null","10","null","15","null","0","13","null","null","0.7","1.1","null","null","0.0","null","22.9","null","0.0","26.2","null","null","10.1","14.8","null","null","-","**","**","-",
"1400000US06001401300","Census Tract 4013, Alameda County, California","2065","198","null","null","162","null","71","null","102","null","69","null","257","null","91","null","128","null","76","null","(X)","(X)","(X)","(X)","7.8","null","3.4","null","4.9","null","3.3","null","12.4","null","4.3","null","6.2","null","3.7","null","187","null","62","null","9","null","14","null","17","null","28","null","121","null","45","null","40","35","null","null","9.1","3.0","null","null","5.6","null","8.7","null","16.7","26.8","null","null","47.1","18.5","null","null","31.3","24.3","null","null",
"1400000US06001401400","Census Tract 4014, Alameda County, California","1640","224","null","null","200","null","85","null","67","null","45","null","253","null","181","null","152","null","93","null","(X)","(X)","(X)","(X)","12.2","null","5.8","null","4.1","null","2.8","null","15.4","null","9.9","null","9.3","null","5.3","null","147","null","78","null","60","null","55","null","0","null","19","null","50","null","46","null","37","45","null","null","9.0","4.8","null","null","30.0","null","22.9","null","0.0","40.2","null","null","19.8","22.1","null","null","24.3","26.7","null","null",
"1400000US06001401500","Census Tract 4015, Alameda County, California","1148","103","null","null","58","null","31","null","45","null","30","null","69","null","37","null","49","null","45","null","(X)","(X)","(X)","(X)","5.1","null","2.7","null","3.9","null","2.6","null","6.0","null","3.3","null","4.3","null","3.9","null","29","null","23","null","3","null","6","null","5","null","8","null","15","null","17","null","6","11","null","null","2.5","2.0","null","null","5.2","null","12.5","null","11.1","17.3","null","null","21.7","23.3","null","null","12.2","21.8","null","null",
"1400000US06001401600","Census Tract 4016, Alameda County, California","912","90","null","null","225","null","81","null","41","null","27","null","96","null","53","null","70","null","39","null","(X)","(X)","(X)","(X)","24.7","null","7.9","null","4.5","null","3.0","null","10.5","null","5.8","null","7.7","null","4.2","null","113","null","51","null","50","null","42","null","7","null","9","null","27","null","24","null","29","24","null","null","12.4","5.3","null","null","22.2","null","16.1","null","17.1","23.9","null","null","28.1","24.4","null","null","41.4","28.7","null","null",
"1400000US06001401700","Census Tract 4017, Alameda County, California","1323","150","null","null","155","null","78","null","82","null","46","null","75","null","51","null","14","null","22","null","(X)","(X)","(X)","(X)","11.7","null","5.7","null","6.2","null","3.5","null","5.7","null","4.0","null","1.1","null","1.7","null","39","null","45","null","39","null","45","null","0","null","13","null","0","null","13","null","0","13","null","null","2.9","3.3","null","null","25.2","null","27.8","null","0.0","36.1","null","null","0.0","38.0","null","null","0.0","87.9","null","null",
"1400000US06001401800","Census Tract 4018, Alameda County, California","685","69","null","null","96","null","51","null","19","null","25","null","17","null","17","null","25","null","28","null","(X)","(X)","(X)","(X)","14.0","null","7.1","null","2.8","null","3.7","null","2.5","null","2.4","null","3.6","null","4.0","null","25","null","23","null","17","null","18","null","0","null","13","null","8","null","10","null","0","13","null","null","3.6","3.3","null","null","17.7","null","19.6","null","0.0","75.5","null","null","47.1","48.6","null","null","0.0","65.8","null","null",
"1400000US06001402200","Census Tract 4022, Alameda County, California","916","137","null","null","187","null","55","null","77","null","52","null","121","null","36","null","0","null","13","null","(X)","(X)","(X)","(X)","20.4","null","6.5","null","8.4","null","5.5","null","13.2","null","4.2","null","0.0","null","4.3","null","82","null","36","null","13","null","17","null","8","null","12","null","61","null","27","null","0","13","null","null","9.0","4.1","null","null","7.0","null","9.7","null","10.4","14.7","null","null","50.4","21.8","null","null","-","**","**","-",
