"Label (Grouping)","Census Tract 4001; Alameda County; California","Census Tract 4002; Alameda County; California","Census Tract 4003; Alameda County; California","Census Tract 4004; Alameda County; California","Census Tract 4005; Alameda County; California","Census Tract 4006; Alameda County; California","Census Tract 4007; Alameda County; California","Census Tract 4008; Alameda County; California","Census Tract 4009; Alameda County; California","Census Tract 4010; Alameda County; California","Census Tract 4011; Alameda County; California","Census Tract 4012; Alameda County; California","Census Tract 4013; Alameda County; California","Census Tract 4014; Alameda County; California","Census Tract 4015; Alameda County; California","Census Tract 4016; Alameda County; California","Census Tract 4017; Alameda County; California","Census Tract 4018; Alameda County; California","Census Tract 4022; Alameda County; California","Census Tract 4024; Alameda County; California","Census Tract 4025; Alameda County; California","Census Tract 4026; Alameda County; California","Census Tract 4027; Alameda County; California","Census Tract 4028.01; Alameda County; California","Census Tract 4028.02; Alameda County; California","Census Tract 4029; Alameda County; California","Census Tract 4030; Alameda County; California","Census Tract 4031; Alameda County; California","Census Tract 4033.01; Alameda County; California","Census Tract 4033.02; Alameda County; California","Census Tract 4034.01; Alameda County; California","Census Tract 4034.02; Alameda County; California","Census Tract 4035.01; Alameda County; California","Census Tract 4035.02; Alameda County; California","Census Tract 4036; Alameda County; California","Census Tract 4037.01; Alameda County; California","Census Tract 4037.02; Alameda County; California","Census Tract 4038; Alameda County; California","Census Tract 4039; Alameda County; California","Census Tract 4040; Alameda County; California","Census Tract 4041.01; Alameda County; California","Census Tract 4041.02; Alameda County; California","Census Tract 4042; Alameda County; California","Census Tract 4043; Alameda County; California","Census Tract 4044; Alameda County; California","Census Tract 4045.01; Alameda County; California","Census Tract 4045.02; Alameda County; California","Census Tract 4046; Alameda County; California","Census Tract 4047; Alameda County; California","Census Tract 4048; Alameda County; California","Census Tract 4049; Alameda County; California","Census Tract 4050; Alameda County; California","Census Tract 4051; Alameda County; California","Census Tract 4052; Alameda County; California","Census Tract 4053.01; Alameda County; California","Census Tract 4053.02; Alameda County; California","Census Tract 4054.01; Alameda County; California","Census Tract 4054.02; Alameda County; California","Census Tract 4055; Alameda County; California","Census Tract 4056; Alameda County; California","Census Tract 4057; Alameda County; California","Census Tract 4058; Alameda County; California","Census Tract 4059.01; Alameda County; California","Census Tract 4059.02; Alameda County; California","Census Tract 4060; Alameda County; California","Census Tract 4061; Alameda County; California","Census Tract 4062.01; Alameda County; California","Census Tract 4062.02; Alameda County; California","Census Tract 4063; Alameda County; California","Census Tract 4064; Alameda County; California","Census Tract 4065; Alameda County; California","Census Tract 4066.01; Alameda County; California","Census Tract 4066.02; Alameda County; California","Census Tract 4067; Alameda County; California","Census Tract 4068; Alameda County; California","Census Tract 4069; Alameda County; California","Census Tract 4070; Alameda County; California","Census Tract 4071.01; Alameda County; California","Census Tract 4071.02; Alameda County; California","Census Tract 4072; Alameda County; California","Census Tract 4073; Alameda County; California","Census Tract 4074; Alameda County; California","Census Tract 4075; Alameda County; California","Census Tract 4076; Alameda County; California","Census Tract 4077; Alameda County; California","Census Tract 4078; Alameda County; California","Census Tract 4079; Alameda County; California","Census Tract 4080; Alameda County; California","Census Tract 4081; Alameda County; California","Census Tract 4082; Alameda County; California","Census Tract 4083; Alameda County; California","Census Tract 4084; Alameda County; California","Census Tract 4085; Alameda County; California","Census Tract 4086; Alameda County; California","Census Tract 4087; Alameda County; California","Census Tract 4088; Alameda County; California","Census Tract 4089; Alameda County; California","Census Tract 4090; Alameda County; California","Census Tract 4091; Alameda County; California","Census Tract 4092; Alameda County; California","Census Tract 4093; Alameda County; California","Census Tract 4094; Alameda County; California","Census Tract 4095; Alameda County; California","Census Tract 4096; Alameda County; California","Census Tract 4097; Alameda County; California","Census Tract 4098; Alameda County; California","Census Tract 4099; Alameda County; California","Census Tract 4100; Alameda County; California","Census Tract 4101; Alameda County; California","Census Tract 4102; Alameda County; California","Census Tract 4103; Alameda County; California","Census Tract 4104; Alameda County; California","Census Tract 4105; Alameda County; California","Census Tract 4201; Alameda County; California","Census Tract 4202; Alameda County; California","Census Tract 4203.01; Alameda County; California","Census Tract 4203.02; Alameda County; California","Census Tract 4204.01; Alameda County; California","Census Tract 4204.02; Alameda County; California","Census Tract 4205; Alameda County; California","Census Tract 4206; Alameda County; California","Census Tract 4211; Alameda County; California","Census Tract 4212; Alameda County; California","Census Tract 4213; Alameda County; California","Census Tract 4214; Alameda County; California","Census Tract 4215; Alameda County; California","Census Tract 4216; Alameda County; California","Census Tract 4217; Alameda County; California","Census Tract 4218; Alameda County; California","Census Tract 4219; Alameda County; California","Census Tract 4220; Alameda County; California","Census Tract 4221; Alameda County; California","Census Tract 4222; Alameda County; California","Census Tract 4223; Alameda County; California","Census Tract 4224; Alameda County; California","Census Tract 4225; Alameda County; California","Census Tract 4227; Alameda County; California","Census Tract 4228; Alameda County; California","Census Tract 4229.01; Alameda County; California","Census Tract 4229.02; Alameda County; California","Census Tract 4230; Alameda County; California","Census Tract 4231; Alameda County; California","Census Tract 4232; Alameda County; California","Census Tract 4233; Alameda County; California","Census Tract 4234; Alameda County; California","Census Tract 4235; Alameda County; California","Census Tract 4236.01; Alameda County; California","Census Tract 4236.02; Alameda County; California","Census Tract 4237; Alameda County; California","Census Tract 4238; Alameda County; California","Census Tract 4239.01; Alameda County; California","Census Tract 4239.02; Alameda County; California","Census Tract 4240.01; Alameda County; California","Census Tract 4240.02; Alameda County; California","Census Tract 4251.01; Alameda County; California","Census Tract 4251.02; Alameda County; California","Census Tract 4251.03; Alameda County; California","Census Tract 4251.04; Alameda County; California","Census Tract 4261; Alameda County; California","Census Tract 4262; Alameda County; California","Census Tract 4271; Alameda County; California","Census Tract 4272; Alameda County; California","Census Tract 4273; Alameda County; California","Census Tract 4276; Alameda County; California","Census Tract 4277; Alameda County; California","Census Tract 4278; Alameda County; California","Census Tract 4279; Alameda County; California","Census Tract 4280; Alameda County; California","Census Tract 4281; Alameda County; California","Census Tract 4282; Alameda County; California","Census Tract 4283.01; Alameda County; California","Census Tract 4283.02; Alameda County; California","Census Tract 4284; Alameda County; California","Census Tract 4285; Alameda County; California","Census Tract 4286; Alameda County; California","Census Tract 4287; Alameda County; California","Census Tract 4301.01; Alameda County; California","Census Tract 4301.02; Alameda County; California","Census Tract 4302; Alameda County; California","Census Tract 4303; Alameda County; California","Census Tract 4304; Alameda County; California","Census Tract 4305; Alameda County; California","Census Tract 4306; Alameda County; California","Census Tract 4307; Alameda County; California","Census Tract 4308; Alameda County; California","Census Tract 4309; Alameda County; California","Census Tract 4310; Alameda County; California","Census Tract 4311; Alameda County; California","Census Tract 4312; Alameda County; California","Census Tract 4321; Alameda County; California","Census Tract 4322; Alameda County; California","Census Tract 4323; Alameda County; California","Census Tract 4324; Alameda County; California","Census Tract 4325.01; Alameda County; California","Census Tract 4325.02; Alameda County; California","Census Tract 4326.01; Alameda County; California","Census Tract 4326.02; Alameda County; California","Census Tract 4327; Alameda County; California","Census Tract 4328; Alameda County; California","Census Tract 4330; Alameda County; California","Census Tract 4331.02; Alameda County; California","Census Tract 4331.03; Alameda County; California","Census Tract 4331.04; Alameda County; California","Census Tract 4332; Alameda County; California","Census Tract 4333; Alameda County; California","Census Tract 4334; Alameda County; California","Census Tract 4335; Alameda County; California","Census Tract 4336; Alameda County; California","Census Tract 4337; Alameda County; California","Census Tract 4338.01; Alameda County; California","Census Tract 4338.02; Alameda County; California","Census Tract 4339; Alameda County; California","Census Tract 4340; Alameda County; California","Census Tract 4351.02; Alameda County; California","Census Tract 4351.03; Alameda County; California","Census Tract 4351.04; Alameda County; California","Census Tract 4352; Alameda County; California","Census Tract 4353; Alameda County; California","Census Tract 4354; Alameda County; California","Census Tract 4355; Alameda County; California","Census Tract 4356.01; Alameda County; California","Census Tract 4356.02; Alameda County; California","Census Tract 4357; Alameda County; California","Census Tract 4358; Alameda County; California","Census Tract 4359; Alameda County; California","Census Tract 4360; Alameda County; California","Census Tract 4361; Alameda County; California","Census Tract 4362; Alameda County; California","Census Tract 4363.01; Alameda County; California","Census Tract 4363.02; Alameda County; California","Census Tract 4364.02; Alameda County; California","Census Tract 4364.03; Alameda County; California","Census Tract 4364.04; Alameda County; California","Census Tract 4365; Alameda County; California","Census Tract 4366.01; Alameda County; California","Census Tract 4366.02; Alameda County; California","Census Tract 4367; Alameda County; California","Census Tract 4368; Alameda County; California","Census Tract 4369; Alameda County; California","Census Tract 4370; Alameda County; California","Census Tract 4371.01; Alameda County; California","Census Tract 4371.02; Alameda County; California","Census Tract 4372; Alameda County; California","Census Tract 4373; Alameda County; California","Census Tract 4374; Alameda County; California","Census Tract 4375; Alameda County; California","Census Tract 4376; Alameda County; California","Census Tract 4377.01; Alameda County; California","Census Tract 4377.02; Alameda County; California","Census Tract 4378; Alameda County; California","Census Tract 4379; Alameda County; California","Census Tract 4380; Alameda County; California","Census Tract 4381; Alameda County; California","Census Tract 4382.01; Alameda County; California","Census Tract 4382.03; Alameda County; California","Census Tract 4382.04; Alameda County; California","Census Tract 4383; Alameda County; California","Census Tract 4384; Alameda County; California","Census Tract 4401; Alameda County; California","Census Tract 4402; Alameda County; California","Census Tract 4403.01; Alameda County; California","Census Tract 4403.04; Alameda County; California","Census Tract 4403.05; Alameda County; California","Census Tract 4403.06; Alameda County; California","Census Tract 4403.07; Alameda County; California","Census Tract 4403.08; Alameda County; California","Census Tract 4403.31; Alameda County; California","Census Tract 4403.32; Alameda County; California","Census Tract 4403.33; Alameda County; California","Census Tract 4403.34; Alameda County; California","Census Tract 4403.36; Alameda County; California","Census Tract 4403.37; Alameda County; California","Census Tract 4403.38; Alameda County; California","Census Tract 4411; Alameda County; California","Census Tract 4412; Alameda County; California","Census Tract 4413.01; Alameda County; California","Census Tract 4413.02; Alameda County; California","Census Tract 4414.01; Alameda County; California","Census Tract 4414.02; Alameda County; California","Census Tract 4415.01; Alameda County; California","Census Tract 4415.03; Alameda County; California","Census Tract 4415.21; Alameda County; California","Census Tract 4415.22; Alameda County; California","Census Tract 4415.23; Alameda County; California","Census Tract 4415.24; Alameda County; California","Census Tract 4415.25; Alameda County; California","Census Tract 4416.01; Alameda County; California","Census Tract 4416.02; Alameda County; California","Census Tract 4417.01; Alameda County; California","Census Tract 4417.02; Alameda County; California","Census Tract 4418; Alameda County; California","Census Tract 4419.21; Alameda County; California","Census Tract 4419.23; Alameda County; California","Census Tract 4419.24; Alameda County; California","Census Tract 4419.26; Alameda County; California","Census Tract 4419.27; Alameda County; California","Census Tract 4419.28; Alameda County; California","Census Tract 4419.29; Alameda County; California","Census Tract 4420; Alameda County; California","Census Tract 4421; Alameda County; California","Census Tract 4422; Alameda County; California","Census Tract 4423.01; Alameda County; California","Census Tract 4423.02; Alameda County; California","Census Tract 4424; Alameda County; California","Census Tract 4425.01; Alameda County; California","Census Tract 4425.02; Alameda County; California","Census Tract 4426.01; Alameda County; California","Census Tract 4426.02; Alameda County; California","Census Tract 4427; Alameda County; California","Census Tract 4428; Alameda County; California","Census Tract 4429; Alameda County; California","Census Tract 4430.01; Alameda County; California","Census Tract 4430.02; Alameda County; California","Census Tract 4431.02; Alameda County; California","Census Tract 4431.03; Alameda County; California","Census Tract 4431.04; Alameda County; California","Census Tract 4431.05; Alameda County; California","Census Tract 4432; Alameda County; California","Census Tract 4433.01; Alameda County; California","Census Tract 4433.21; Alameda County; California","Census Tract 4433.22; Alameda County; California","Census Tract 4441; Alameda County; California","Census Tract 4442; Alameda County; California","Census Tract 4443.01; Alameda County; California","Census Tract 4443.03; Alameda County; California","Census Tract 4443.04; Alameda County; California","Census Tract 4444; Alameda County; California","Census Tract 4445; Alameda County; California","Census Tract 4446.01; Alameda County; California","Census Tract 4446.02; Alameda County; California","Census Tract 4501.01; Alameda County; California","Census Tract 4501.02; Alameda County; California","Census Tract 4502; Alameda County; California","Census Tract 4503; Alameda County; California","Census Tract 4504; Alameda County; California","Census Tract 4505.01; Alameda County; California","Census Tract 4505.02; Alameda County; California","Census Tract 4506.01; Alameda County; California","Census Tract 4506.03; Alameda County; California","Census Tract 4506.04; Alameda County; California","Census Tract 4506.05; Alameda County; California","Census Tract 4506.06; Alameda County; California","Census Tract 4506.07; Alameda County; California","Census Tract 4506.08; Alameda County; California","Census Tract 4506.09; Alameda County; California","Census Tract 4507.01; Alameda County; California","Census Tract 4507.41; Alameda County; California","Census Tract 4507.42; Alameda County; California","Census Tract 4507.43; Alameda County; California","Census Tract 4507.44; Alameda County; California","Census Tract 4507.45; Alameda County; California","Census Tract 4507.46; Alameda County; California","Census Tract 4507.50; Alameda County; California","Census Tract 4507.51; Alameda County; California","Census Tract 4507.52; Alameda County; California","Census Tract 4511.02; Alameda County; California","Census Tract 4511.03; Alameda County; California","Census Tract 4511.04; Alameda County; California","Census Tract 4512.01; Alameda County; California","Census Tract 4512.02; Alameda County; California","Census Tract 4513; Alameda County; California","Census Tract 4514.01; Alameda County; California","Census Tract 4514.03; Alameda County; California","Census Tract 4514.04; Alameda County; California","Census Tract 4515.01; Alameda County; California","Census Tract 4515.03; Alameda County; California","Census Tract 4515.04; Alameda County; California","Census Tract 4515.05; Alameda County; California","Census Tract 4515.06; Alameda County; California","Census Tract 4516.01; Alameda County; California","Census Tract 4516.02; Alameda County; California","Census Tract 4517.01; Alameda County; California","Census Tract 4517.03; Alameda County; California","Census Tract 4517.04; Alameda County; California","Census Tract 9819; Alameda County; California","Census Tract 9820; Alameda County; California","Census Tract 9821; Alameda County; California","Census Tract 9832; Alameda County; California","Census Tract 9900; Alameda County; California"
"Total:","1,395","892","2,764","1,958","1,694","772","2,067","1,835","1,201","2,703","2,727","1,512","2,853","1,795","1,221","1,017","1,947","848","1,050","1,163","785","673","810","1,445","958","1,502","1,763","986","831","1,859","2,085","965","3,721","1,307","2,765","1,682","1,299","1,978","2,314","1,857","1,836","1,712","1,446","1,409","2,420","710","2,565","1,902","829","1,301","2,145","1,596","1,635","2,589","1,691","1,643","1,744","1,260","1,683","1,510","1,430","1,427","1,219","1,034","2,064","1,987","1,564","1,431","1,350","750","2,031","1,831","970","2,374","1,460","1,567","2,236","1,160","1,384","2,044","878","1,278","1,402","2,260","1,844","808","1,233","1,056","2,906","1,838","1,873","1,271","1,701","1,921","2,553","2,237","1,099","1,111","677","965","1,635","1,353","1,123","1,585","1,749","1,268","1,425","1,182","1,098","1,234","1,067","1,361","915","954","1,306","1,140","1,010","478","661","1,004","1,354","879","1,520","1,726","686","1,649","1,701","1,696","939","1,793","1,390","1,372","1,678","1,956","2,320","1,783","1,308","2,325","1,254","1,421","2,293","2,076","1,252","1,683","2,242","1,618","1,348","2,853","1,564","1,449","960","749","1,667","1,086","1,353","2,324","1,533","2,315","2,207","1,745","1,509","1,772","2,357","1,866","2,573","2,168","2,228","1,447","2,118","2,788","2,546","2,690","2,037","1,564","1,640","1,706","2,309","949","2,546","1,384","767","2,256","2,199","1,440","2,268","1,925","1,264","1,403","2,696","1,498","1,811","1,720","1,953","1,525","1,486","1,890","1,405","1,081","1,532","1,483","1,403","1,551","1,925","2,892","2,245","2,393","1,439","2,175","1,102","1,236","1,393","2,406","1,887","1,767","2,550","2,940","1,477","1,772","2,187","1,540","1,718","1,775","1,523","1,767","1,702","1,568","1,817","1,336","1,800","1,350","1,102","1,860","1,265","1,936","1,956","1,878","1,134","1,426","1,970","1,279","2,162","1,540","2,992","952","956","1,241","958","1,134","1,132","1,400","731","1,107","2,210","1,260","1,273","1,957","928","742","1,161","1,495","2,234","1,363","1,026","1,062","1,695","1,931","950","878","833","1,084","1,483","751","1,835","1,600","2,633","1,209","1,876","2,414","1,751","1,773","2,426","1,806","1,466","1,405","1,328","835","1,450","2,323","1,148","2,011","2,420","1,298","2,650","2,947","1,514","1,700","1,499","1,589","1,075","1,700","2,295","1,605","2,302","1,974","1,054","1,183","1,284","1,770","1,072","953","2,398","816","1,947","1,498","1,235","1,892","1,482","1,178","1,234","1,212","972","2,606","1,970","1,165","1","2,298","1,519","2,004","1,907","1,902","2,935","1,845","2,889","1,947","2,853","1,283","1,911","1,358","1,559","1,704","1,412","2,110","2,557","1,445","1,845","2,764","2,093","2,276","3,582","2,286","2,239","1,232","2,702","3,497","2,867","1,372","502","2,504","2,790","2,167","2,345","2,412","783","2,275","1,932","2,418","600","1,154","1,111","1,964","2,844","1,113","1,337","1,694","25","41","95","554","0"
"    Occupied","1,301","835","2,591","1,828","1,614","726","1,929","1,684","1,098","2,506","2,402","1,392","2,365","1,685","1,132","946","1,758","774","943","1,107","746","654","749","1,350","892","1,248","1,631","877","754","1,722","1,890","895","3,356","1,241","2,601","1,565","1,225","1,890","2,189","1,729","1,731","1,590","1,378","1,348","2,333","691","2,485","1,839","792","1,239","2,031","1,483","1,587","2,439","1,600","1,553","1,650","1,151","1,597","1,432","1,355","1,343","1,166","979","1,839","1,887","1,485","1,366","1,275","710","1,954","1,769","921","2,280","1,405","1,528","2,126","1,104","1,333","1,954","794","1,218","1,310","2,178","1,782","766","1,174","1,014","2,794","1,752","1,770","1,207","1,636","1,828","2,439","2,160","1,047","1,070","647","940","1,562","1,301","1,067","1,525","1,652","1,208","1,404","1,155","1,058","1,194","1,027","1,317","876","905","1,254","1,066","967","449","615","930","1,307","839","1,449","1,654","652","1,546","1,582","1,567","884","1,694","1,294","1,165","1,556","1,774","2,045","1,563","1,106","1,848","1,085","1,235","2,088","1,936","1,158","1,581","2,098","1,496","1,244","2,430","1,429","1,370","888","684","1,548","1,025","1,277","2,091","1,449","2,111","2,130","1,706","1,450","1,665","2,179","1,759","2,346","2,057","2,081","1,344","1,990","2,669","2,470","2,583","1,909","1,417","1,554","1,507","2,277","920","2,491","1,328","749","2,168","2,146","1,393","2,189","1,845","1,218","1,340","2,599","1,450","1,710","1,670","1,881","1,485","1,450","1,774","1,350","1,041","1,483","1,446","1,360","1,478","1,824","2,826","2,220","2,330","1,391","2,127","1,061","1,188","1,356","2,317","1,805","1,690","2,481","2,641","1,442","1,701","1,951","1,462","1,651","1,707","1,477","1,735","1,671","1,544","1,780","1,277","1,754","1,310","1,072","1,689","1,228","1,827","1,897","1,832","1,107","1,370","1,927","1,244","2,123","1,483","2,879","945","935","1,194","937","1,075","1,081","1,381","705","1,085","2,161","1,239","1,243","1,911","912","734","1,074","1,470","2,186","1,341","1,013","1,041","1,662","1,879","932","863","823","1,076","1,461","738","1,763","1,554","2,549","1,178","1,826","2,352","1,709","1,759","2,329","1,775","1,438","1,382","1,308","539","1,424","2,242","1,118","1,903","2,354","1,248","2,409","2,648","1,352","1,591","1,413","1,496","1,041","1,657","2,210","1,550","2,229","1,944","1,024","1,159","1,260","1,707","1,053","940","2,353","797","1,923","1,473","1,207","1,839","1,460","1,160","1,201","1,166","959","2,567","1,931","1,128","1","2,250","1,474","1,950","1,884","1,762","2,795","1,649","2,742","1,898","2,756","1,247","1,871","1,280","1,543","1,670","1,391","2,067","2,405","1,415","1,751","2,667","1,998","2,155","3,308","2,245","2,201","1,204","2,608","3,439","2,806","1,351","474","2,330","2,704","2,080","2,294","2,306","765","2,187","1,839","2,299","588","1,129","1,077","1,908","2,726","1,101","1,312","1,655","21","36","93","427","0"
"    Vacant","94","57","173","130","80","46","138","151","103","197","325","120","488","110","89","71","189","74","107","56","39","19","61","95","66","254","132","109","77","137","195","70","365","66","164","117","74","88","125","128","105","122","68","61","87","19","80","63","37","62","114","113","48","150","91","90","94","109","86","78","75","84","53","55","225","100","79","65","75","40","77","62","49","94","55","39","110","56","51","90","84","60","92","82","62","42","59","42","112","86","103","64","65","93","114","77","52","41","30","25","73","52","56","60","97","60","21","27","40","40","40","44","39","49","52","74","43","29","46","74","47","40","71","72","34","103","119","129","55","99","96","207","122","182","275","220","202","477","169","186","205","140","94","102","144","122","104","423","135","79","72","65","119","61","76","233","84","204","77","39","59","107","178","107","227","111","147","103","128","119","76","107","128","147","86","199","32","29","55","56","18","88","53","47","79","80","46","63","97","48","101","50","72","40","36","116","55","40","49","37","43","73","101","66","25","63","48","48","41","48","37","89","82","77","69","299","35","71","236","78","67","68","46","32","31","24","37","59","46","40","30","171","37","109","59","46","27","56","43","35","39","57","113","7","21","47","21","59","51","19","26","22","49","21","30","46","16","8","87","25","48","22","13","21","33","52","18","15","10","8","22","13","72","46","84","31","50","62","42","14","97","31","28","23","20","296","26","81","30","108","66","50","241","299","162","109","86","93","34","43","85","55","73","30","30","24","24","63","19","13","45","19","24","25","28","53","22","18","33","46","13","39","39","37","0","48","45","54","23","140","140","196","147","49","97","36","40","78","16","34","21","43","152","30","94","97","95","121","274","41","38","28","94","58","61","21","28","174","86","87","51","106","18","88","93","119","12","25","34","56","118","12","25","39","4","5","2","127","0"
