"Label (Grouping)","Census Tract 4001; Alameda County; California","Census Tract 4002; Alameda County; California","Census Tract 4003; Alameda County; California","Census Tract 4004; Alameda County; California","Census Tract 4005; Alameda County; California","Census Tract 4006; Alameda County; California","Census Tract 4007; Alameda County; California","Census Tract 4008; Alameda County; California","Census Tract 4009; Alameda County; California","Census Tract 4010; Alameda County; California","Census Tract 4011; Alameda County; California","Census Tract 4012; Alameda County; California","Census Tract 4013; Alameda County; California","Census Tract 4014; Alameda County; California","Census Tract 4015; Alameda County; California","Census Tract 4016; Alameda County; California","Census Tract 4017; Alameda County; California","Census Tract 4018; Alameda County; California","Census Tract 4022; Alameda County; California","Census Tract 4024; Alameda County; California","Census Tract 4025; Alameda County; California","Census Tract 4026; Alameda County; California","Census Tract 4027; Alameda County; California","Census Tract 4028.01; Alameda County; California","Census Tract 4028.02; Alameda County; California","Census Tract 4029; Alameda County; California","Census Tract 4030; Alameda County; California","Census Tract 4031; Alameda County; California","Census Tract 4033.01; Alameda County; California","Census Tract 4033.02; Alameda County; California","Census Tract 4034.01; Alameda County; California","Census Tract 4034.02; Alameda County; California","Census Tract 4035.01; Alameda County; California","Census Tract 4035.02; Alameda County; California","Census Tract 4036; Alameda County; California","Census Tract 4037.01; Alameda County; California","Census Tract 4037.02; Alameda County; California","Census Tract 4038; Alameda County; California","Census Tract 4039; Alameda County; California","Census Tract 4040; Alameda County; California","Census Tract 4041.01; Alameda County; California","Census Tract 4041.02; Alameda County; California","Census Tract 4042; Alameda County; California","Census Tract 4043; Alameda County; California","Census Tract 4044; Alameda County; California","Census Tract 4045.01; Alameda County; California","Census Tract 4045.02; Alameda County; California","Census Tract 4046; Alameda County; California","Census Tract 4047; Alameda County; California","Census Tract 4048; Alameda County; California","Census Tract 4049; Alameda County; California","Census Tract 4050; Alameda County; California","Census Tract 4051; Alameda County; California","Census Tract 4052; Alameda County; California","Census Tract 4053.01; Alameda County; California","Census Tract 4053.02; Alameda County; California","Census Tract 4054.01; Alameda County; California","Census Tract 4054.02; Alameda County; California","Census Tract 4055; Alameda County; California","Census Tract 4056; Alameda County; California","Census Tract 4057; Alameda County; California","Census Tract 4058; Alameda County; California","Census Tract 4059.01; Alameda County; California","Census Tract 4059.02; Alameda County; California","Census Tract 4060; Alameda County; California","Census Tract 4061; Alameda County; California","Census Tract 4062.01; Alameda County; California","Census Tract 4062.02; Alameda County; California","Census Tract 4063; Alameda County; California","Census Tract 4064; Alameda County; California","Census Tract 4065; Alameda County; California","Census Tract 4066.01; Alameda County; California","Census Tract 4066.02; Alameda County; California","Census Tract 4067; Alameda County; California","Census Tract 4068; Alameda County; California","Census Tract 4069; Alameda County; California","Census Tract 4070; Alameda County; California","Census Tract 4071.01; Alameda County; California","Census Tract 4071.02; Alameda County; California","Census Tract 4072; Alameda County; California","Census Tract 4073; Alameda County; California","Census Tract 4074; Alameda County; California","Census Tract 4075; Alameda County; California","Census Tract 4076; Alameda County; California","Census Tract 4077; Alameda County; California","Census Tract 4078; Alameda County; California","Census Tract 4079; Alameda County; California","Census Tract 4080; Alameda County; California","Census Tract 4081; Alameda County; California","Census Tract 4082; Alameda County; California","Census Tract 4083; Alameda County; California","Census Tract 4084; Alameda County; California","Census Tract 4085; Alameda County; California","Census Tract 4086; Alameda County; California","Census Tract 4087; Alameda County; California","Census Tract 4088; Alameda County; California","Census Tract 4089; Alameda County; California","Census Tract 4090; Alameda County; California","Census Tract 4091; Alameda County; California","Census Tract 4092; Alameda County; California","Census Tract 4093; Alameda County; California","Census Tract 4094; Alameda County; California","Census Tract 4095; Alameda County; California","Census Tract 4096; Alameda County; California","Census Tract 4097; Alameda County; California","Census Tract 4098; Alameda County; California","Census Tract 4099; Alameda County; California","Census Tract 4100; Alameda County; California","Census Tract 4101; Alameda County; California","Census Tract 4102; Alameda County; California","Census Tract 4103; Alameda County; California","Census Tract 4104; Alameda County; California","Census Tract 4105; Alameda County; California","Census Tract 4201; Alameda County; California","Census Tract 4202; Alameda County; California","Census Tract 4203.01; Alameda County; California","Census Tract 4203.02; Alameda County; California","Census Tract 4204.01; Alameda County; California","Census Tract 4204.02; Alameda County; California","Census Tract 4205; Alameda County; California","Census Tract 4206; Alameda County; California","Census Tract 4211; Alameda County; California","Census Tract 4212; Alameda County; California","Census Tract 4213; Alameda County; California","Census Tract 4214; Alameda County; California","Census Tract 4215; Alameda County; California","Census Tract 4216; Alameda County; California","Census Tract 4217; Alameda County; California","Census Tract 4218; Alameda County; California","Census Tract 4219; Alameda County; California","Census Tract 4220; Alameda County; California","Census Tract 4221; Alameda County; California","Census Tract 4222; Alameda County; California","Census Tract 4223; Alameda County; California","Census Tract 4224; Alameda County; California","Census Tract 4225; Alameda County; California","Census Tract 4227; Alameda County; California","Census Tract 4228; Alameda County; California","Census Tract 4229.01; Alameda County; California","Census Tract 4229.02; Alameda County; California","Census Tract 4230; Alameda County; California","Census Tract 4231; Alameda County; California","Census Tract 4232; Alameda County; California","Census Tract 4233; Alameda County; California","Census Tract 4234; Alameda County; California","Census Tract 4235; Alameda County; California","Census Tract 4236.01; Alameda County; California","Census Tract 4236.02; Alameda County; California","Census Tract 4237; Alameda County; California","Census Tract 4238; Alameda County; California","Census Tract 4239.01; Alameda County; California","Census Tract 4239.02; Alameda County; California","Census Tract 4240.01; Alameda County; California","Census Tract 4240.02; Alameda County; California","Census Tract 4251.01; Alameda County; California","Census Tract 4251.02; Alameda County; California","Census Tract 4251.03; Alameda County; California","Census Tract 4251.04; Alameda County; California","Census Tract 4261; Alameda County; California","Census Tract 4262; Alameda County; California","Census Tract 4271; Alameda County; California","Census Tract 4272; Alameda County; California","Census Tract 4273; Alameda County; California","Census Tract 4276; Alameda County; California","Census Tract 4277; Alameda County; California","Census Tract 4278; Alameda County; California","Census Tract 4279; Alameda County; California","Census Tract 4280; Alameda County; California","Census Tract 4281; Alameda County; California","Census Tract 4282; Alameda County; California","Census Tract 4283.01; Alameda County; California","Census Tract 4283.02; Alameda County; California","Census Tract 4284; Alameda County; California","Census Tract 4285; Alameda County; California","Census Tract 4286; Alameda County; California","Census Tract 4287; Alameda County; California","Census Tract 4301.01; Alameda County; California","Census Tract 4301.02; Alameda County; California","Census Tract 4302; Alameda County; California","Census Tract 4303; Alameda County; California","Census Tract 4304; Alameda County; California","Census Tract 4305; Alameda County; California","Census Tract 4306; Alameda County; California","Census Tract 4307; Alameda County; California","Census Tract 4308; Alameda County; California","Census Tract 4309; Alameda County; California","Census Tract 4310; Alameda County; California","Census Tract 4311; Alameda County; California","Census Tract 4312; Alameda County; California","Census Tract 4321; Alameda County; California","Census Tract 4322; Alameda County; California","Census Tract 4323; Alameda County; California","Census Tract 4324; Alameda County; California","Census Tract 4325.01; Alameda County; California","Census Tract 4325.02; Alameda County; California","Census Tract 4326.01; Alameda County; California","Census Tract 4326.02; Alameda County; California","Census Tract 4327; Alameda County; California","Census Tract 4328; Alameda County; California","Census Tract 4330; Alameda County; California","Census Tract 4331.02; Alameda County; California","Census Tract 4331.03; Alameda County; California","Census Tract 4331.04; Alameda County; California","Census Tract 4332; Alameda County; California","Census Tract 4333; Alameda County; California","Census Tract 4334; Alameda County; California","Census Tract 4335; Alameda County; California","Census Tract 4336; Alameda County; California","Census Tract 4337; Alameda County; California","Census Tract 4338.01; Alameda County; California","Census Tract 4338.02; Alameda County; California","Census Tract 4339; Alameda County; California","Census Tract 4340; Alameda County; California","Census Tract 4351.02; Alameda County; California","Census Tract 4351.03; Alameda County; California","Census Tract 4351.04; Alameda County; California","Census Tract 4352; Alameda County; California","Census Tract 4353; Alameda County; California","Census Tract 4354; Alameda County; California","Census Tract 4355; Alameda County; California","Census Tract 4356.01; Alameda County; California","Census Tract 4356.02; Alameda County; California","Census Tract 4357; Alameda County; California","Census Tract 4358; Alameda County; California","Census Tract 4359; Alameda County; California","Census Tract 4360; Alameda County; California","Census Tract 4361; Alameda County; California","Census Tract 4362; Alameda County; California","Census Tract 4363.01; Alameda County; California","Census Tract 4363.02; Alameda County; California","Census Tract 4364.02; Alameda County; California","Census Tract 4364.03; Alameda County; California","Census Tract 4364.04; Alameda County; California","Census Tract 4365; Alameda County; California","Census Tract 4366.01; Alameda County; California","Census Tract 4366.02; Alameda County; California","Census Tract 4367; Alameda County; California","Census Tract 4368; Alameda County; California","Census Tract 4369; Alameda County; California","Census Tract 4370; Alameda County; California","Census Tract 4371.01; Alameda County; California","Census Tract 4371.02; Alameda County; California","Census Tract 4372; Alameda County; California","Census Tract 4373; Alameda County; California","Census Tract 4374; Alameda County; California","Census Tract 4375; Alameda County; California","Census Tract 4376; Alameda County; California","Census Tract 4377.01; Alameda County; California","Census Tract 4377.02; Alameda County; California","Census Tract 4378; Alameda County; California","Census Tract 4379; Alameda County; California","Census Tract 4380; Alameda County; California","Census Tract 4381; Alameda County; California","Census Tract 4382.01; Alameda County; California","Census Tract 4382.03; Alameda County; California","Census Tract 4382.04; Alameda County; California","Census Tract 4383; Alameda County; California","Census Tract 4384; Alameda County; California","Census Tract 4401; Alameda County; California","Census Tract 4402; Alameda County; California","Census Tract 4403.01; Alameda County; California","Census Tract 4403.04; Alameda County; California","Census Tract 4403.05; Alameda County; California","Census Tract 4403.06; Alameda County; California","Census Tract 4403.07; Alameda County; California","Census Tract 4403.08; Alameda County; California","Census Tract 4403.31; Alameda County; California","Census Tract 4403.32; Alameda County; California","Census Tract 4403.33; Alameda County; California","Census Tract 4403.34; Alameda County; California","Census Tract 4403.36; Alameda County; California","Census Tract 4403.37; Alameda County; California","Census Tract 4403.38; Alameda County; California","Census Tract 4411; Alameda County; California","Census Tract 4412; Alameda County; California","Census Tract 4413.01; Alameda County; California","Census Tract 4413.02; Alameda County; California","Census Tract 4414.01; Alameda County; California","Census Tract 4414.02; Alameda County; California","Census Tract 4415.01; Alameda County; California","Census Tract 4415.03; Alameda County; California","Census Tract 4415.21; Alameda County; California","Census Tract 4415.22; Alameda County; California","Census Tract 4415.23; Alameda County; California","Census Tract 4415.24; Alameda County; California","Census Tract 4415.25; Alameda County; California","Census Tract 4416.01; Alameda County; California","Census Tract 4416.02; Alameda County; California","Census Tract 4417.01; Alameda County; California","Census Tract 4417.02; Alameda County; California","Census Tract 4418; Alameda County; California","Census Tract 4419.21; Alameda County; California","Census Tract 4419.23; Alameda County; California","Census Tract 4419.24; Alameda County; California","Census Tract 4419.26; Alameda County; California","Census Tract 4419.27; Alameda County; California","Census Tract 4419.28; Alameda County; California","Census Tract 4419.29; Alameda County; California","Census Tract 4420; Alameda County; California","Census Tract 4421; Alameda County; California","Census Tract 4422; Alameda County; California","Census Tract 4423.01; Alameda County; California","Census Tract 4423.02; Alameda County; California","Census Tract 4424; Alameda County; California","Census Tract 4425.01; Alameda County; California","Census Tract 4425.02; Alameda County; California","Census Tract 4426.01; Alameda County; California","Census Tract 4426.02; Alameda County; California","Census Tract 4427; Alameda County; California","Census Tract 4428; Alameda County; California","Census Tract 4429; Alameda County; California","Census Tract 4430.01; Alameda County; California","Census Tract 4430.02; Alameda County; California","Census Tract 4431.02; Alameda County; California","Census Tract 4431.03; Alameda County; California","Census Tract 4431.04; Alameda County; California","Census Tract 4431.05; Alameda County; California","Census Tract 4432; Alameda County; California","Census Tract 4433.01; Alameda County; California","Census Tract 4433.21; Alameda County; California","Census Tract 4433.22; Alameda County; California","Census Tract 4441; Alameda County; California","Census Tract 4442; Alameda County; California","Census Tract 4443.01; Alameda County; California","Census Tract 4443.03; Alameda County; California","Census Tract 4443.04; Alameda County; California","Census Tract 4444; Alameda County; California","Census Tract 4445; Alameda County; California","Census Tract 4446.01; Alameda County; California","Census Tract 4446.02; Alameda County; California","Census Tract 4501.01; Alameda County; California","Census Tract 4501.02; Alameda County; California","Census Tract 4502; Alameda County; California","Census Tract 4503; Alameda County; California","Census Tract 4504; Alameda County; California","Census Tract 4505.01; Alameda County; California","Census Tract 4505.02; Alameda County; California","Census Tract 4506.01; Alameda County; California","Census Tract 4506.03; Alameda County; California","Census Tract 4506.04; Alameda County; California","Census Tract 4506.05; Alameda County; California","Census Tract 4506.06; Alameda County; California","Census Tract 4506.07; Alameda County; California","Census Tract 4506.08; Alameda County; California","Census Tract 4506.09; Alameda County; California","Census Tract 4507.01; Alameda County; California","Census Tract 4507.41; Alameda County; California","Census Tract 4507.42; Alameda County; California","Census Tract 4507.43; Alameda County; California","Census Tract 4507.44; Alameda County; California","Census Tract 4507.45; Alameda County; California","Census Tract 4507.46; Alameda County; California","Census Tract 4507.50; Alameda County; California","Census Tract 4507.51; Alameda County; California","Census Tract 4507.52; Alameda County; California","Census Tract 4511.02; Alameda County; California","Census Tract 4511.03; Alameda County; California","Census Tract 4511.04; Alameda County; California","Census Tract 4512.01; Alameda County; California","Census Tract 4512.02; Alameda County; California","Census Tract 4513; Alameda County; California","Census Tract 4514.01; Alameda County; California","Census Tract 4514.03; Alameda County; California","Census Tract 4514.04; Alameda County; California","Census Tract 4515.01; Alameda County; California","Census Tract 4515.03; Alameda County; California","Census Tract 4515.04; Alameda County; California","Census Tract 4515.05; Alameda County; California","Census Tract 4515.06; Alameda County; California","Census Tract 4516.01; Alameda County; California","Census Tract 4516.02; Alameda County; California","Census Tract 4517.01; Alameda County; California","Census Tract 4517.03; Alameda County; California","Census Tract 4517.04; Alameda County; California","Census Tract 9819; Alameda County; California","Census Tract 9820; Alameda County; California","Census Tract 9821; Alameda County; California","Census Tract 9832; Alameda County; California","Census Tract 9900; Alameda County; California"
"Total:","1,301","835","2,591","1,828","1,614","726","1,929","1,684","1,098","2,506","2,402","1,392","2,365","1,685","1,132","946","1,758","774","943","1,107","746","654","749","1,350","892","1,248","1,631","877","754","1,722","1,890","895","3,356","1,241","2,601","1,565","1,225","1,890","2,189","1,729","1,731","1,590","1,378","1,348","2,333","691","2,485","1,839","792","1,239","2,031","1,483","1,587","2,439","1,600","1,553","1,650","1,151","1,597","1,432","1,355","1,343","1,166","979","1,839","1,887","1,485","1,366","1,275","710","1,954","1,769","921","2,280","1,405","1,528","2,126","1,104","1,333","1,954","794","1,218","1,310","2,178","1,782","766","1,174","1,014","2,794","1,752","1,770","1,207","1,636","1,828","2,439","2,160","1,047","1,070","647","940","1,562","1,301","1,067","1,525","1,652","1,208","1,404","1,155","1,058","1,194","1,027","1,317","876","905","1,254","1,066","967","449","615","930","1,307","839","1,449","1,654","652","1,546","1,582","1,567","884","1,694","1,294","1,165","1,556","1,774","2,045","1,563","1,106","1,848","1,085","1,235","2,088","1,936","1,158","1,581","2,098","1,496","1,244","2,430","1,429","1,370","888","684","1,548","1,025","1,277","2,091","1,449","2,111","2,130","1,706","1,450","1,665","2,179","1,759","2,346","2,057","2,081","1,344","1,990","2,669","2,470","2,583","1,909","1,417","1,554","1,507","2,277","920","2,491","1,328","749","2,168","2,146","1,393","2,189","1,845","1,218","1,340","2,599","1,450","1,710","1,670","1,881","1,485","1,450","1,774","1,350","1,041","1,483","1,446","1,360","1,478","1,824","2,826","2,220","2,330","1,391","2,127","1,061","1,188","1,356","2,317","1,805","1,690","2,481","2,641","1,442","1,701","1,951","1,462","1,651","1,707","1,477","1,735","1,671","1,544","1,780","1,277","1,754","1,310","1,072","1,689","1,228","1,827","1,897","1,832","1,107","1,370","1,927","1,244","2,123","1,483","2,879","945","935","1,194","937","1,075","1,081","1,381","705","1,085","2,161","1,239","1,243","1,911","912","734","1,074","1,470","2,186","1,341","1,013","1,041","1,662","1,879","932","863","823","1,076","1,461","738","1,763","1,554","2,549","1,178","1,826","2,352","1,709","1,759","2,329","1,775","1,438","1,382","1,308","539","1,424","2,242","1,118","1,903","2,354","1,248","2,409","2,648","1,352","1,591","1,413","1,496","1,041","1,657","2,210","1,550","2,229","1,944","1,024","1,159","1,260","1,707","1,053","940","2,353","797","1,923","1,473","1,207","1,839","1,460","1,160","1,201","1,166","959","2,567","1,931","1,128","1","2,250","1,474","1,950","1,884","1,762","2,795","1,649","2,742","1,898","2,756","1,247","1,871","1,280","1,543","1,670","1,391","2,067","2,405","1,415","1,751","2,667","1,998","2,155","3,308","2,245","2,201","1,204","2,608","3,439","2,806","1,351","474","2,330","2,704","2,080","2,294","2,306","765","2,187","1,839","2,299","588","1,129","1,077","1,908","2,726","1,101","1,312","1,655","21","36","93","427","0"
"    Owned with a mortgage or a loan","764","341","776","576","527","236","651","512","374","684","397","380","204","288","289","183","725","148","269","164","92","81","120","88","43","5","192","152","38","330","225","0","247","206","364","147","173","484","540","364","464","145","842","773","1,472","474","1,624","1,237","538","432","812","732","1,081","434","120","44","101","102","257","256","289","353","181","182","150","368","224","125","368","278","456","524","225","1,180","737","656","646","261","528","332","168","287","261","876","1,168","418","671","652","1,772","703","995","382","552","636","820","383","255","440","320","415","515","474","268","464","438","642","1,023","807","516","421","319","674","83","482","368","435","288","5","1","327","641","495","818","824","319","818","728","349","374","752","198","345","472","375","146","157","96","8","15","13","565","550","280","657","591","287","330","189","296","602","218","193","319","326","375","322","378","466","1,370","984","773","508","738","228","578","622","565","152","742","1,130","1,353","1,533","419","318","515","621","1,465","562","1,595","821","494","959","1,282","841","1,048","309","236","358","1,128","837","606","812","632","536","603","383","288","540","823","782","533","199","314","765","1,181","1,227","724","836","366","341","493","314","454","968","1,822","658","939","582","476","379","347","417","756","956","941","959","806","137","789","331","707","509","826","488","550","436","491","515","656","701","1,444","564","1,234","416","619","241","441","161","61","801","252","584","1,311","649","609","875","569","408","322","582","1,080","687","641","549","676","748","354","593","540","648","599","523","421","779","1,234","405","915","1,164","929","1,119","1,585","954","853","464","592","232","823","955","501","674","1,053","317","178","1,143","234","292","323","152","642","970","1,344","644","581","991","468","499","637","688","589","523","1,234","464","969","953","771","916","951","779","794","406","579","1,555","1,101","638","0","1,243","625","688","1,296","1,069","586","959","707","986","1,303","739","1,410","790","1,078","980","809","1,359","586","886","886","1,787","879","1,029","602","1,087","1,214","698","1,232","2,788","2,292","989","335","1,400","1,607","1,529","1,411","1,167","480","842","985","1,235","381","832","372","1,055","1,203","712","902","903","2","20","8","269","0"
"    Owned free and clear","356","151","291","225","138","62","147","110","50","155","85","104","26","62","63","28","56","25","45","42","17","22","20","20","13","1","251","62","47","72","122","0","48","67","92","43","70","173","178","109","165","75","283","323","445","122","471","423","150","154","290","186","364","231","43","38","70","52","99","92","98","148","85","98","83","134","103","52","99","77","156","201","49","362","209","198","197","76","155","140","62","69","49","181","187","81","165","201","475","130","165","78","114","122","174","106","42","118","60","84","161","77","60","90","88","125","209","193","73","95","52","115","23","198","138","220","105","3","0","120","331","259","487","511","217","444","454","193","211","305","127","145","193","194","103","116","35","13","1","7","274","218","72","190","187","139","149","136","185","399","86","87","79","68","253","113","60","94","562","399","250","154","287","127","252","201","210","53","268","420","550","715","159","148","280","104","501","251","581","329","185","252","447","241","363","88","147","85","278","220","160","221","213","227","198","144","81","193","328","312","265","82","204","357","489","630","315","374","65","106","200","100","119","243","428","126","172","121","99","80","76","127","202","278","373","285","235","53","95","67","243","97","172","65","132","64","149","126","143","198","334","144","490","91","140","68","93","37","1","170","46","140","273","345","320","623","112","198","92","181","485","177","180","124","552","243","82","165","123","201","204","88","75","384","378","141","339","314","310","349","224","431","250","118","136","34","269","268","105","112","334","102","26","318","49","72","63","32","300","380","457","136","97","282","139","160","210","219","193","173","346","126","441","354","317","291","320","327","225","95","195","455","301","182","0","151","190","177","305","209","79","79","113","201","228","200","261","282","237","289","288","408","125","241","268","554","218","480","111","401","318","201","138","261","201","307","79","271","314","214","430","281","98","133","259","327","73","200","135","291","379","151","211","301","2","1","6","40","0"
"    Renter occupied","181","343","1,524","1,027","949","428","1,131","1,062","674","1,667","1,920","908","2,135","1,335","780","735","977","601","629","901","637","551","609","1,242","836","1,242","1,188","663","669","1,320","1,543","895","3,061","968","2,145","1,375","982","1,233","1,471","1,256","1,102","1,370","253","252","416","95","390","179","104","653","929","565","142","1,774","1,437","1,471","1,479","997","1,241","1,084","968","842","900","699","1,606","1,385","1,158","1,189","808","355","1,342","1,044","647","738","459","674","1,283","767","650","1,482","564","862","1,000","1,121","427","267","338","161","547","919","610","747","970","1,070","1,445","1,671","750","512","267","441","886","750","739","971","1,126","441","172","155","469","678","656","528","770","225","748","411","574","441","614","483","335","85","144","319","116","284","400","1,025","299","637","969","675","891","1,205","1,796","1,290","975","1,827","1,069","1,215","1,249","1,168","806","734","1,320","1,070","765","2,105","948","369","584","404","1,150","631","649","1,656","1,011","1,551","198","323","427","1,003","1,154","1,404","1,516","1,234","1,306","1,139","980","1,119","567","335","1,331","951","759","782","311","107","315","178","70","957","417","311","778","1,448","835","897","1,193","393","944","637","1,036","722","649","1,247","981","308","332","352","562","1,197","1,306","1,704","550","473","352","917","630","741","663","1,903","1,232","479","231","1,857","331","998","1,376","1,003","1,228","1,163","519","501","357","300","739","1,087","870","912","122","1,083","230","1,274","1,215","1,332","467","729","1,128","345","345","775","1,155","438","176","885","403","877","1,019","410","407","361","577","245","314","413","231","128","660","707","621","477","192","368","434","888","496","105","160","227","658","127","1,267","391","937","632","572","874","470","291","520","390","335","800","580","273","332","1,019","512","1,117","967","829","2,205","1,187","1,069","1,227","1,027","1,312","99","307","409","770","1,551","671","417","500","413","800","271","244","773","207","513","166","119","632","189","54","182","665","185","557","529","308","1","856","659","1,085","283","484","2,130","611","1,922","711","1,225","308","200","208","228","401","294","300","1,694","288","597","326","901","646","2,595","757","669","305","1,238","390","313","55","60","659","783","337","453","858","187","1,212","595","737","134","97","570","562","1,144","238","199","451","17","15","79","118","0"
